app_name,publisher,platform,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,source_url,collected_at,source_kind
"Yodha My Horoscope","Love Astrology and Horoscope by Yodha","ios","","Lifestyle","4.82055","11000","free","","","Why settle for an ordinary horoscope when you can have access to authentic astrologers from Nepal? Better ask real gurus anything you want!
 
With the Yodha app, you will enjoy:
 
• Insightful answers","","","https://apps.apple.com/us/app/yodha-my-horoscope/id593269461?uo=4","2026-05-21T13:46:34.259Z","app_store"
"align27 Vedic Astrology Guide","GMan Labs","ios","","Lifestyle","4.65604","2762","free","","","Astrologically align your life with align27 — a time management solution for integrating ancient astrological wisdom in your daily planning, rituals, and self-care.

JOIN USERS ON THE PATH TO SELF-IMP","","","https://apps.apple.com/us/app/align27-vedic-astrology-guide/id1364184571?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Lila: Astrology for Real Life","Lila Labs, Inc","ios","","Lifestyle","4.61278","266","free","","","What Makes Lila Different?

LILA (lee-la) takes an evolutionary approach to astrology — one that places free will and self-awareness at the heart of your journey. Your chart isn't a script that's alre","","","https://apps.apple.com/us/app/lila-astrology-for-real-life/id1542777758?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Charts Astrology","wahid payne","ios","","Lifestyle","3.30072","276","free","","","Charts Astrology uses the keyword approach to interpreting a birth chart and horoscope. Simply combine the keyword of the planets, zodiac signs, and houses to form key phrases, sentences and paragraph","","","https://apps.apple.com/us/app/charts-astrology/id1461015581?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Melooha: Astrology & Kundli","Astroverse Technologies Pvt. Ltd.","ios","","Lifestyle","4.78348","642","free","","","Melooha is an AI-powered Vedic astrology app for real-life decisions.
Get hyper-personalized guidance using your birth details (date, time, place) - so your insights don’t feel generic, random, or cop","","","https://apps.apple.com/us/app/melooha-astrology-kundli/id6463635344?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Faladdin: Zodiac & Love","Truemium","ios","","Lifestyle","4.59495","89755","free","","","From the heart of the mystical realm to the world, Faladdin is your personal in-pocket fortune teller.

With over 25 million users, 5 million active users worldwide, and 1 million readings every day, ","","","https://apps.apple.com/us/app/faladdin-zodiac-love/id1201725025?uo=4","2026-05-21T13:46:34.259Z","app_store"
"PsychicBook - Psychic Reading","Aptlife Media LLC","ios","","Lifestyle","4.67847","3303","free","","","Psychic Book – Accurate Psychic Reading, Horoscope, and Tarot Advice at Your Fingertips
Life rarely comes with easy answers — but the right guidance can make all the difference. Psychic Book is your u","","","https://apps.apple.com/us/app/psychicbook-psychic-reading/id1525231239?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Astroyogi | Astrology & Kundli","Netway india pvt ltd","ios","","Lifestyle","4.66084","572","free","","","For over two decades, Astroyogi has been the leading app for astrology enthusiasts around the globe. With access to over 5000+ certified astrologers, including Vedic astrologers, Vastu Experts, Tarot ","","","https://apps.apple.com/us/app/astroyogi-astrology-kundli/id1475620580?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Nua: Numerology & Astrology","Kateryna Haliabarnyk","ios","","Lifestyle","0","0","free","","","Nua is the daily ritual that shows you what's been there all along — your patterns, your day, your insights, your deepest truths.

Nua is the first app that combines astrology and numerology into one ","","","https://apps.apple.com/us/app/nua-numerology-astrology/id6764618255?uo=4","2026-05-21T13:46:34.259Z","app_store"
"AI Astrology Chat: Natal Chart","Kanat Magdanov","ios","","Lifestyle","0","0","free","","","AI Astrology Chat: Natal Chart brings the wisdom of the universe right to your pocket. Unlike generic horoscopes, our app combines advanced AI with your exact birth data to offer deeply personal astro","","","https://apps.apple.com/us/app/ai-astrology-chat-natal-chart/id6761717429?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Zodi: Horoscope & Astrology","Adomin LTD","ios","","Lifestyle","4.50986","3246","free","","","Zodi is an astrological app with the most accurate and personalized predictions! 

We have connected more than 250k astrology enthusiasts together! And we are constantly expanding our community.

Chec","","","https://apps.apple.com/us/app/zodi-horoscope-astrology/id1434219392?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Tarot Card Reading & Astrology","Touchzing Media","ios","","Entertainment","4.63283","15554","free","","","Find instant answers to your questions regarding life, love, career, health, and more... totally free with Tarot Card Reading!

FEATURES:
GET YOUR ANSWERS: The app uses all 78 Tarot cards including 22","","","https://apps.apple.com/us/app/tarot-card-reading-astrology/id491892796?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Daily Horoscope 2024 by Yodha","Love Astrology and Horoscope by Yodha","ios","","Lifestyle","4.80514","16032","free","","","Yodha daily horoscope app is a day-to-day insight into what zodiac signs have in store for you. While stars move across the sky, the team of 200+ astrologers makes fresh horoscopes for you.

Why do pe","","","https://apps.apple.com/us/app/daily-horoscope-2024-by-yodha/id1147166140?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Moon Calendar — MoonX","Vibes LLC","ios","","Weather","4.78597","21165","free","","","Track lunar phases and energy to bring balance and clarity to everyday life with MoonX. Get instant access to full and new Moon dates, moonrise and moonset times, lunar age, zodiac sign, and real-time","","","https://apps.apple.com/us/app/moon-calendar-moonx/id1454249438?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Talk to Astrologer :InstaAstro","MANK Technology Private Limited","ios","","Lifestyle","4.52707","628","free","","","Make your first call/chat with the astrologer for free.

Looking for a one-stop solution for Astrology, Spirituality, and Wellness?
InstaAstro is the best Online Astrology App where you get the most a","","","https://apps.apple.com/us/app/talk-to-astrologer-instaastro/id1547565515?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Daily Horoscope · Astrology","TELEMAQUE","ios","","Health & Fitness","4.29181","1782","free","","","The Number One app for your free daily, weekly, monthly and weekend horoscopes. Find in your app: your astrology, tarot readings and phone psychic consultations improve for your experience. 

Welcome ","","","https://apps.apple.com/us/app/daily-horoscope-astrology/id329504506?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Natal Chart, Signs & Palmistry","Pintoulini Ltd.","ios","","Lifestyle","4.28845","4025","free","","","Natal Chart, Signs & Palmistry is a #1 professional astrology and Tarot cards reading app that understands and tells who you are and how you are connected to others.

Knowing your zodiac sign is not e","","","https://apps.apple.com/us/app/natal-chart-signs-palmistry/id1461719513?uo=4","2026-05-21T13:46:34.259Z","app_store"
"Love Wise: Relationship Advice","Reatility Corp.","ios","","Lifestyle","4.8017","1059","free","","","Unlock the Secrets of Love, Relationships, and Destiny with LoveWise – Your Trusted Source for Psychic Reading, Tarot Insights, and Expert Relationship Advice

LoveWise is your all-in-one destination ","","","https://apps.apple.com/us/app/love-wise-relationship-advice/id1632207449?uo=4","2026-05-21T13:46:34.259Z","app_store"
"8 Great Astrology Apps in 2026 - Lifewire","","web","1","","","","","","","The best horoscope apps incorporate astrology predictions into your day-to-day life and suit your particular astrological interests. Here are our favorites.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.lifewire.com%2Fbest%2Dastrology%2Dapps%2D5078859&rut=0e031b5ea5f04642f0e29de87fb620eb0743da95d3bbfc0db94d5f8a5aa9fd68","2026-05-21T13:46:33.935Z","web_search"
"Co - Star: Hyper-Personalized, Real-Time Horoscopes","","web","2","","","","","","","Co-Star. The astrology app that deciphers the mystery of human relations through NASA data and biting truth.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.costarastrology.com%2F&rut=75f13869b626aec15b4fa5ff077f3dadad2220acf36368881d4d5fae8ab01d19","2026-05-21T13:46:33.935Z","web_search"
"Co-Star Personalized Astrology - Apps on Google Play","","web","3","","","","","","","Co-Star is the astrology app that deciphers the mystery of human relations through NASA data and biting truth. 2x App of the Day. Featured in the New York Times, Vogue, Vanity Fair, and more.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dcom.costarastrology%26hl%3Den%2DUS&rut=629d4045e5c4a86b8ab39f1592b546c2399c9d0875c17faabf45b972787e6646","2026-05-21T13:46:33.935Z","web_search"
"Best Astrology Apps of 2024 - Verywell Mind","","web","4","","","","","","","The best astrology app for you is one that meets your needs in terms of price, credibility, usefulness, and satisfaction. Whether you're looking for your daily horoscope, birth chart analysis, relationship insights, or simply more information about the stars, these apps can provide answers.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.verywellmind.com%2Fbest%2Dastrology%2Dapps%2D4801861&rut=e72aecd42c55071c2f08225a7d888288d16aa84d40fc8c61916dd7ee3bd2dacf","2026-05-21T13:46:33.935Z","web_search"
"Co-Star Personalized Astrology - App Store","","web","5","","","","","","","Download Co-Star Personalized Astrology by Co-Star Astrology Society on the App Store. See screenshots, ratings and reviews, user tips, and more apps like Co-…","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fapps.apple.com%2Fus%2Fapp%2Fco%2Dstar%2Dpersonalized%2Dastrology%2Fid1264782561&rut=3d41c2077c9d816e432b57efc0011e34363454a14e1777dcb08feecd9f5b10df","2026-05-21T13:46:33.935Z","web_search"
"AI Astrology - Free Online Horoscope & AI-Powered Online Astrologer","","web","6","","","","","","","Get a free AI-powered horoscope with online consultation by top astrologers. Avail best AI-enabled online horoscope and online astrology services by the world leader in astrology. Experience cutting-edge AI astrology with our expert consultations.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.astrosage.com%2F&rut=b23d3b17146ffc240a667053969807cbdae3e88e8e3cd0473f817a1ac30537bd","2026-05-21T13:46:33.935Z","web_search"
"Astrotalk - Free Online Astrology Predictions by Best Astrologer","","web","7","","","","","","","Get AI astrology predictions, free Kundli creation, and accurate Kundli matching on AstroTalk. Talk to India's best astrologers for clear answers to all your worries.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fastrotalk.com%2F&rut=c825c9620a2f5be03aae72d19298aa1d3ada34e5be417bb7e037d55c12add580","2026-05-21T13:46:33.935Z","web_search"
"The CHANI App | CHANI","","web","8","","","","","","","Want your own pocket astrologer? Download the CHANI app for iOS or Android to get personalized astrology readings, daily horoscopes, and so much more.","","","//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.chani.com%2Fapp&rut=6e96498184350f4b1aac516f5fc6043e89d4dde56b3a0a56f5301d3f2e615781","2026-05-21T13:46:33.936Z","web_search"
