niche,package_id,app_name,developer,offers_iap,google_play_iap_range,min_installs,domain,requested_url,final_url,http_status,fetch_status,page_title,signal_tags,price_points_detected,price_point_count,paywall_signal_strength,text_excerpt,collected_at
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/plans","https://www.igg.com/plans","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:03.145Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/premium","https://www.igg.com/premium","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:03.478Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/subscribe","https://www.igg.com/subscribe","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:03.811Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/subscription","https://www.igg.com/subscription","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:04.145Z"
"gaming","com.igg.android.lordsmobile","Lords Mobile: Kingdom Wars","IGG.COM","yes","$0.99 - $299.99 per item","500000000","https://igg.com","https://igg.com/upgrade","https://www.igg.com/upgrade","404","error:http_404","IGG - Error 404: Page not found","no_pricing_signal","","0","low","IGG - Error 404: Page not found www.igg.com Sorry, Page not found You may have typed the web address incorrectly. Please check the address and spelling ensuring that it does not contain capital letters or spaces. It is possible that the page you were looking for may have been moved, updated or deleted. Return to igg.com Home Page. If you still encounter problems then please Contact us.","2026-05-31T03:16:04.480Z"
"gaming","com.innersloth.spacemafia","Among Us","Innersloth LLC","yes","$0.99 - $24.99 per item","500000000","https://innersloth.com","https://www.innersloth.com/","https://www.innersloth.com/","200","ok","Home | Innersloth - Creators of Among Us and The Henry Stickmin Collection!","no_pricing_signal","","0","low","Home | Innersloth - Creators of Among Us and The Henry Stickmin Collection! An indie game company currently working on Among Us and The Henry Stickmin Collection GamesAmong UsAmong Us VRHenry StickminDig2ChinaMoreAmong Us ShowOuterslothNewsAboutInside InnerslothSupport & FAQContact UsPress KitMerch Mobile Update v17.3.1 Out Now! 📱Read More Latest NewsMore News Among Us Patch Notes dev log April 8, 2026 Mobile Update – v17.3.1 Among Us dev log April 1, 2026 Nostalgia Mode arrives for April Fool’","2026-05-31T03:16:06.344Z"
"gaming","com.innersloth.spacemafia","Among Us","Innersloth LLC","yes","$0.99 - $24.99 per item","500000000","https://innersloth.com","https://www.innersloth.com","https://www.innersloth.com/","200","ok","Home | Innersloth - Creators of Among Us and The Henry Stickmin Collection!","no_pricing_signal","","0","low","Home | Innersloth - Creators of Among Us and The Henry Stickmin Collection! An indie game company currently working on Among Us and The Henry Stickmin Collection GamesAmong UsAmong Us VRHenry StickminDig2ChinaMoreAmong Us ShowOuterslothNewsAboutInside InnerslothSupport & FAQContact UsPress KitMerch Mobile Update v17.3.1 Out Now! 📱Read More Latest NewsMore News Among Us Patch Notes dev log April 8, 2026 Mobile Update – v17.3.1 Among Us dev log April 1, 2026 Nostalgia Mode arrives for April Fool’","2026-05-31T03:16:06.745Z"
"gaming","com.innersloth.spacemafia","Among Us","Innersloth LLC","yes","$0.99 - $24.99 per item","500000000","https://innersloth.com","https://www.innersloth.com/pricing","https://www.innersloth.com/pricing","404","error:http_404","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection!","no_pricing_signal","","0","low","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection! GamesAmong UsAmong Us VRHenry StickminDig2ChinaMoreAmong Us ShowOuterslothNewsAboutInside InnerslothSupport & FAQContact UsPress KitMerch Error 404 - Page not found!The page you trying to reach does not exist, or has been moved. Please use the menus or the search box to find what you are looking for. Have a question about Innersloth, merch, or fan art?See FAQs Be the first one to know when we launch new stuff.E","2026-05-31T03:16:07.143Z"
"gaming","com.innersloth.spacemafia","Among Us","Innersloth LLC","yes","$0.99 - $24.99 per item","500000000","https://innersloth.com","https://www.innersloth.com/plans","https://www.innersloth.com/plans","404","error:http_404","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection!","no_pricing_signal","","0","low","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection! GamesAmong UsAmong Us VRHenry StickminDig2ChinaMoreAmong Us ShowOuterslothNewsAboutInside InnerslothSupport & FAQContact UsPress KitMerch Error 404 - Page not found!The page you trying to reach does not exist, or has been moved. Please use the menus or the search box to find what you are looking for. Have a question about Innersloth, merch, or fan art?See FAQs Be the first one to know when we launch new stuff.E","2026-05-31T03:16:07.548Z"
"gaming","com.innersloth.spacemafia","Among Us","Innersloth LLC","yes","$0.99 - $24.99 per item","500000000","https://innersloth.com","https://www.innersloth.com/premium","https://www.innersloth.com/premium","404","error:http_404","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection!","no_pricing_signal","","0","low","Page Not Found | Innersloth - Creators of Among Us and The Henry Stickmin Collection! GamesAmong UsAmong Us VRHenry StickminDig2ChinaMoreAmong Us ShowOuterslothNewsAboutInside InnerslothSupport & FAQContact UsPress KitMerch Error 404 - Page not found!The page you trying to reach does not exist, or has been moved. Please use the menus or the search box to find what you are looking for. Have a question about Innersloth, merch, or fan art?See FAQs Be the first one to know when we launch new stuff.E","2026-05-31T03:16:08.047Z"
